algorithm,input_size,hash_family,memory_model,l1_misses,l1_hits,l1_miss_rate,l2_misses,l2_miss_rate,total_mem_ops,work_ops,theoretical_bound,cache_bound_ratio,work_bound_ratio,seq_baseline_misses,hp_improvement,fixed
cole_merge_sort,256,Siegel(k=8),CREW,2,254,0.0078,2,0.0171,256,42,14,0.1429,0.5250,2,1.0000,false
cole_merge_sort,1024,Siegel(k=8),CREW,8,1016,0.0078,8,0.0091,1024,42,22,0.3636,0.5250,8,1.0000,false
cole_merge_sort,4096,Siegel(k=8),CREW,32,4064,0.0078,32,0.0081,4096,42,47,0.6809,0.5250,32,1.0000,false
cole_merge_sort,16384,Siegel(k=8),CREW,32,4168,0.0076,32,0.0079,4200,42,47,0.6809,0.5250,33,1.0312,false
cole_merge_sort,65536,Siegel(k=8),CREW,32,4168,0.0076,32,0.0079,4200,42,47,0.6809,0.5250,33,1.0312,false
bitonic_sort,256,Siegel(k=8),EREW,2,254,0.0078,2,0.0171,256,24,14,0.1429,1.5000,2,1.0000,false
bitonic_sort,1024,Siegel(k=8),EREW,8,1016,0.0078,8,0.0091,1024,24,22,0.3636,1.5000,8,1.0000,false
bitonic_sort,4096,Siegel(k=8),EREW,18,2382,0.0075,18,0.0079,2400,24,33,0.5455,1.5000,19,1.0556,false
bitonic_sort,16384,Siegel(k=8),EREW,18,2382,0.0075,18,0.0079,2400,24,33,0.5455,1.5000,19,1.0556,false
bitonic_sort,65536,Siegel(k=8),EREW,18,2382,0.0075,18,0.0079,2400,24,33,0.5455,1.5000,19,1.0556,false
sample_sort,256,Siegel(k=8),CREW,2,254,0.0078,2,0.0171,256,54,14,0.1429,0.5625,2,1.0000,false
sample_sort,1024,Siegel(k=8),CREW,8,1016,0.0078,8,0.0091,1024,54,22,0.3636,0.5625,8,1.0000,false
sample_sort,4096,Siegel(k=8),CREW,32,4064,0.0078,32,0.0081,4096,54,47,0.6809,0.5625,32,1.0000,false
sample_sort,16384,Siegel(k=8),CREW,42,5358,0.0078,42,0.0080,5400,54,57,0.7368,0.5625,43,1.0238,false
sample_sort,65536,Siegel(k=8),CREW,42,5358,0.0078,42,0.0080,5400,54,57,0.7368,0.5625,43,1.0238,false
odd_even_merge_sort,256,Siegel(k=8),EREW,2,254,0.0078,2,0.0171,256,25,14,0.1429,1.5625,2,1.0000,false
odd_even_merge_sort,1024,Siegel(k=8),EREW,8,1016,0.0078,8,0.0091,1024,25,22,0.3636,1.5625,8,1.0000,false
odd_even_merge_sort,4096,Siegel(k=8),EREW,19,2481,0.0076,19,0.0080,2500,25,34,0.5588,1.5625,20,1.0526,false
odd_even_merge_sort,16384,Siegel(k=8),EREW,19,2481,0.0076,19,0.0080,2500,25,34,0.5588,1.5625,20,1.0526,false
odd_even_merge_sort,65536,Siegel(k=8),EREW,19,2481,0.0076,19,0.0080,2500,25,34,0.5588,1.5625,20,1.0526,false
shiloach_vishkin,256,Siegel(k=8),CRCW-Arbitrary,2,254,0.0078,2,0.0171,256,60,14,0.1429,1.2500,2,1.0000,false
shiloach_vishkin,1024,Siegel(k=8),CRCW-Arbitrary,8,1016,0.0078,8,0.0091,1024,60,22,0.3636,1.2500,8,1.0000,false
shiloach_vishkin,4096,Siegel(k=8),CRCW-Arbitrary,32,4064,0.0078,32,0.0081,4096,60,47,0.6809,1.2500,32,1.0000,false
